index,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,leased
95,6300000,6000,4,2,4,1,0,0,0,0,1,0,1,no
96,6300000,4100,3,2,3,1,0,0,0,1,2,0,1,yes
97,6300000,9000,3,1,1,1,0,1,0,0,1,1,2,no
98,6300000,6400,3,1,1,1,1,1,0,1,1,1,1,no
99,6293000,6600,3,2,3,1,0,0,0,1,0,1,0,yes
100,6265000,6000,4,1,3,1,1,1,0,0,0,1,0,yes
101,6230000,6600,3,2,1,1,0,1,0,1,0,1,0,yes
102,6230000,5500,3,1,3,1,0,0,0,0,1,1,0,no
103,6195000,5500,3,2,4,1,1,0,0,1,1,0,1,no
104,6195000,6350,3,2,3,1,1,0,0,1,0,0,2,no
105,6195000,5500,3,2,1,1,1,1,0,0,2,1,2,yes
106,6160000,4500,3,1,4,1,0,0,0,1,0,0,0,no
107,6160000,5450,4,2,1,1,0,1,0,1,0,1,1,yes
108,6125000,6420,3,1,3,1,0,1,0,0,0,1,0,yes
109,6107500,3240,4,1,3,1,0,0,0,0,1,0,1,no
110,6090000,6615,4,2,2,1,1,0,1,0,1,0,1,no
111,6090000,6600,3,1,1,1,1,1,0,0,2,1,1,yes
112,6090000,8372,3,1,3,1,0,0,0,1,2,0,0,no
113,6083000,4300,6,2,2,1,0,0,0,0,0,0,2,yes
114,6083000,9620,3,1,1,1,0,1,0,0,2,1,2,no
115,6020000,6800,2,1,1,1,1,1,0,0,2,0,2,no
116,6020000,8000,3,1,1,1,1,1,0,1,2,1,1,no
117,6020000,6900,3,2,1,1,1,1,0,0,0,1,0,yes
118,5950000,3700,4,1,2,1,1,0,0,1,0,0,2,no
119,5950000,6420,3,1,1,1,0,1,0,1,0,1,2,yes
120,5950000,7020,3,1,1,1,0,1,0,1,2,1,1,no
121,5950000,6540,3,1,1,1,1,1,0,0,2,1,2,no
122,5950000,7231,3,1,2,1,1,1,0,1,0,1,1,yes
123,5950000,6254,4,2,1,1,0,1,0,0,1,1,1,no
124,5950000,7320,4,2,2,1,0,0,0,0,0,0,2,yes
125,5950000,6525,3,2,4,1,0,0,0,0,1,0,2,no
126,5943000,15600,3,1,1,1,0,0,0,1,2,0,1,yes
127,5880000,7160,3,1,1,1,0,1,0,0,2,1,0,no
128,5880000,6500,3,2,3,1,0,0,0,1,0,0,0,yes
129,5873000,5500,3,1,3,1,1,0,0,1,1,0,2,no
130,5873000,11460,3,1,3,1,0,0,0,0,2,1,1,yes
131,5866000,4800,3,1,1,1,1,1,0,0,0,0,0,no
132,5810000,5828,4,1,4,1,1,0,0,0,0,0,1,no
133,5810000,5200,3,1,3,1,0,0,0,1,0,0,1,yes
134,5810000,4800,3,1,3,1,0,0,0,1,0,0,0,yes
135,5803000,7000,3,1,1,1,0,1,0,0,2,1,1,yes
136,5775000,6000,3,2,4,1,0,0,0,1,0,0,0,yes
137,5740000,5400,4,2,2,1,0,0,0,1,2,0,0,no
138,5740000,4640,4,1,2,1,0,0,0,0,1,0,1,yes
139,5740000,5000,3,1,3,1,0,0,0,1,0,0,1,yes
140,5740000,6360,3,1,1,1,1,1,0,1,2,1,2,yes
141,5740000,5800,3,2,4,1,0,0,0,1,0,0,0,yes
142,5652500,6660,4,2,2,1,1,1,0,0,1,1,1,no
143,5600000,10500,4,2,2,1,0,0,0,0,1,0,1,no
144,5600000,4800,5,2,3,0,0,1,1,0,0,0,0,no
145,5600000,4700,4,1,2,1,1,1,0,1,1,0,2,no
146,5600000,5000,3,1,4,1,0,0,0,0,0,0,2,yes
147,5600000,10500,2,1,1,1,0,0,0,0,1,0,1,yes
148,5600000,5500,3,2,2,1,0,0,0,0,1,0,1,no
149,5600000,6360,3,1,3,1,0,0,0,0,0,1,1,no
150,5600000,6600,4,2,1,1,0,1,0,0,0,1,1,yes
151,5600000,5136,3,1,2,1,1,1,0,1,0,1,0,no
152,5565000,4400,4,1,2,1,0,0,0,1,2,1,1,no
153,5565000,5400,5,1,2,1,1,1,0,1,0,1,2,no
154,5530000,3300,3,3,2,1,0,1,0,0,0,0,1,yes
155,5530000,3650,3,2,2,1,0,0,0,0,2,0,1,yes
156,5530000,6100,3,2,1,1,0,1,0,0,2,1,2,yes
157,5523000,6900,3,1,1,1,1,1,0,0,0,1,1,yes
158,5495000,2817,4,2,2,0,1,1,0,0,1,0,2,yes
159,5495000,7980,3,1,1,1,0,0,0,0,2,0,1,no
160,5460000,3150,3,2,1,1,1,1,0,1,0,0,2,yes
161,5460000,6210,4,1,4,1,1,0,0,1,0,0,2,yes
162,5460000,6100,3,1,3,1,1,0,0,1,0,1,1,yes
163,5460000,6600,4,2,2,1,1,1,0,0,0,1,1,no
164,5425000,6825,3,1,1,1,1,1,0,1,0,1,1,no
165,5390000,6710,3,2,2,1,1,1,0,0,1,1,2,no
166,5383000,6450,3,2,1,1,1,1,1,0,0,0,0,no
167,5320000,7800,3,1,1,1,0,1,0,1,2,1,0,yes
168,5285000,4600,2,2,1,1,0,0,0,1,2,0,1,no
169,5250000,4260,4,1,2,1,0,1,0,1,0,0,2,no
170,5250000,6540,4,2,2,0,0,0,0,1,0,0,1,yes
171,5250000,5500,3,2,1,1,0,1,0,0,0,0,1,no
172,5250000,10269,3,1,1,1,0,0,0,0,1,1,1,no
173,5250000,8400,3,1,2,1,1,1,0,1,2,1,0,no
174,5250000,5300,4,2,1,1,0,0,0,1,0,1,0,yes
175,5250000,3800,3,1,2,1,1,1,0,0,1,1,0,no
176,5250000,9800,4,2,2,1,1,0,0,0,2,0,1,yes
177,5250000,8520,3,1,1,1,0,0,0,1,2,0,2,yes
178,5243000,6050,3,1,1,1,0,1,0,0,0,1,1,yes
179,5229000,7085,3,1,1,1,1,1,0,0,2,1,1,yes
180,5215000,3180,3,2,2,1,0,0,0,0,2,0,1,no
181,5215000,4500,4,2,1,0,0,1,0,1,2,0,1,yes
182,5215000,7200,3,1,2,1,1,1,0,0,1,1,2,no
183,5145000,3410,3,1,2,0,0,0,0,1,0,0,1,no
184,5145000,7980,3,1,1,1,0,0,0,0,1,1,1,no
185,5110000,3000,3,2,2,1,1,1,0,0,0,0,2,yes
186,5110000,3000,3,1,2,1,0,1,0,0,0,0,0,no
187,5110000,11410,2,1,2,1,0,0,0,0,0,1,2,yes
188,5110000,6100,3,1,1,1,0,1,0,1,0,1,1,no
189,5075000,5720,2,1,2,1,0,0,0,1,0,1,0,yes
190,5040000,3540,2,1,1,0,1,1,0,0,0,0,1,yes
191,5040000,7600,4,1,2,1,0,0,0,1,2,0,2,yes
192,5040000,10700,3,1,2,1,1,1,0,0,0,0,1,yes
193,5040000,6600,3,1,1,1,1,1,0,0,0,1,2,yes
194,5033000,4800,2,1,1,1,1,1,0,0,0,0,1,yes
195,5005000,8150,3,2,1,1,1,1,0,0,0,0,1,yes
196,4970000,4410,4,3,2,1,0,1,0,0,2,0,1,no
197,4970000,7686,3,1,1,1,1,1,1,0,0,0,1,yes
198,4956000,2800,3,2,2,0,0,1,0,1,1,0,1,no
199,4935000,5948,3,1,2,1,0,0,0,1,0,0,1,yes
200,4907000,4200,3,1,2,1,0,0,0,0,1,0,2,yes
201,4900000,4520,3,1,2,1,0,1,0,1,0,0,1,yes
202,4900000,4095,3,1,2,0,1,1,0,1,0,0,1,yes
203,4900000,4120,2,1,1,1,0,1,0,0,1,0,1,no
204,4900000,5400,4,1,2,1,0,0,0,0,0,0,1,no
205,4900000,4770,3,1,1,1,1,1,0,0,0,0,1,no
206,4900000,6300,3,1,1,1,0,0,0,1,2,0,1,yes
207,4900000,5800,2,1,1,1,1,1,0,1,0,0,1,yes
208,4900000,3000,3,1,2,1,0,1,0,1,0,0,1,yes
209,4900000,2970,3,1,3,1,0,0,0,0,0,0,1,no
210,4900000,6720,3,1,1,1,0,0,0,0,0,0,0,no
211,4900000,4646,3,1,2,1,1,1,0,0,2,0,1,no
212,4900000,12900,3,1,1,1,0,0,0,0,2,0,2,yes
213,4893000,3420,4,2,2,1,0,1,0,1,2,0,1,yes
214,4893000,4995,4,2,1,1,0,1,0,0,0,0,1,no
215,4865000,4350,2,1,1,1,0,1,0,0,0,0,0,no
216,4830000,4160,3,1,3,1,0,0,0,0,0,0,0,yes
217,4830000,6040,3,1,1,1,0,0,0,0,2,1,1,no
218,4830000,6862,3,1,2,1,0,0,0,1,2,1,2,yes
219,4830000,4815,2,1,1,1,0,0,0,1,0,1,1,yes
220,4795000,7000,3,1,2,1,0,1,0,0,0,0,0,no
221,4795000,8100,4,1,4,1,0,1,0,1,2,0,1,yes
222,4767000,3420,4,2,2,1,0,0,0,0,0,0,1,no
223,4760000,9166,2,1,1,1,0,1,0,1,2,0,1,yes
224,4760000,6321,3,1,2,1,0,1,0,1,1,0,2,yes
225,4760000,10240,2,1,1,1,0,0,0,1,2,1,0,no
226,4753000,6440,2,1,1,1,0,0,0,1,3,0,1,yes
227,4690000,5170,3,1,4,1,0,0,0,1,0,0,1,yes
228,4690000,6000,2,1,1,1,0,1,0,1,1,0,2,yes
229,4690000,3630,3,1,2,1,0,0,0,0,2,0,1,yes
230,4690000,9667,4,2,2,1,1,1,0,0,1,0,1,yes
231,4690000,5400,2,1,2,1,0,0,0,0,0,1,1,yes
232,4690000,4320,3,1,1,1,0,0,0,0,0,1,1,yes
233,4655000,3745,3,1,2,1,0,1,0,0,0,0,2,yes
234,4620000,4160,3,1,1,1,1,1,0,1,0,0,0,no
235,4620000,3880,3,2,2,1,0,1,0,0,2,0,1,yes
236,4620000,5680,3,1,2,1,1,0,0,1,1,0,1,no
237,4620000,2870,2,1,2,1,1,1,0,0,0,1,1,no
238,4620000,5010,3,1,2,1,0,1,0,0,0,0,1,no
239,4613000,4510,4,2,2,1,0,1,0,0,0,0,1,yes
240,4585000,4000,3,1,2,1,0,0,0,0,1,0,2,no
241,4585000,3840,3,1,2,1,0,0,0,0,1,1,1,yes
242,4550000,3760,3,1,1,1,0,0,0,0,2,0,1,no
243,4550000,3640,3,1,2,1,0,0,0,1,0,0,2,no
244,4550000,2550,3,1,2,1,0,1,0,0,0,0,2,yes
245,4550000,5320,3,1,2,1,1,1,0,0,0,1,1,no
246,4550000,5360,3,1,2,1,0,0,0,0,2,1,0,no
247,4550000,3520,3,1,1,1,0,0,0,0,0,1,1,yes
248,4550000,8400,4,1,4,1,0,0,0,0,3,0,0,no
249,4543000,4100,2,2,1,1,1,1,0,0,0,0,1,yes
250,4543000,4990,4,2,2,1,1,1,0,0,0,1,2,no
251,4515000,3510,3,1,3,1,0,0,0,0,0,0,1,yes
252,4515000,3450,3,1,2,1,0,1,0,0,1,0,1,yes
253,4515000,9860,3,1,1,1,0,0,0,0,0,0,1,no
254,4515000,3520,2,1,2,1,0,0,0,0,0,1,2,no
255,4480000,4510,4,1,2,1,0,0,0,1,2,0,1,yes
256,4480000,5885,2,1,1,1,0,0,0,1,1,0,0,yes
257,4480000,4000,3,1,2,1,0,0,0,0,2,0,2,no
258,4480000,8250,3,1,1,1,0,0,0,0,0,0,2,no
259,4480000,4040,3,1,2,1,0,0,0,0,1,0,1,no
260,4473000,6360,2,1,1,1,0,1,0,1,1,0,2,yes
261,4473000,3162,3,1,2,1,0,0,0,1,1,0,2,yes
262,4473000,3510,3,1,2,1,0,0,0,0,0,0,1,yes
263,4445000,3750,2,1,1,1,1,1,0,0,0,0,1,yes
264,4410000,3968,3,1,2,0,0,0,0,0,0,0,1,no
265,4410000,4900,2,1,2,1,0,1,0,0,0,0,1,yes
266,4403000,2880,3,1,2,1,0,0,0,0,0,1,1,no
267,4403000,4880,3,1,1,1,0,0,0,0,2,1,0,no
268,4403000,4920,3,1,2,1,0,0,0,0,1,0,1,no
269,4382000,4950,4,1,2,1,0,0,0,1,0,0,1,yes
270,4375000,3900,3,1,2,1,0,0,0,0,0,0,0,no
271,4340000,4500,3,2,3,1,0,0,1,0,1,0,2,yes
272,4340000,1905,5,1,2,0,0,1,0,0,0,0,1,no
273,4340000,4075,3,1,1,1,1,1,0,0,2,0,1,no
274,4340000,3500,4,1,2,1,0,0,0,0,2,0,2,no
275,4340000,6450,4,1,2,1,0,0,0,0,0,0,1,yes
276,4319000,4032,2,1,1,1,0,1,0,0,0,0,2,yes
277,4305000,4400,2,1,1,1,0,0,0,0,1,0,1,yes
278,4305000,10360,2,1,1,1,0,0,0,0,1,1,1,yes
279,4277000,3400,3,1,2,1,0,1,0,0,2,1,1,yes
280,4270000,6360,2,1,1,1,0,0,0,0,0,0,2,yes
281,4270000,6360,2,1,2,1,0,0,0,0,0,0,0,yes
282,4270000,4500,2,1,1,1,0,0,0,1,2,0,2,no
283,4270000,2175,3,1,2,0,1,1,0,1,0,0,0,yes
284,4270000,4360,4,1,2,1,0,0,0,0,0,0,2,no
285,4270000,7770,2,1,1,1,0,0,0,0,1,0,2,no
286,4235000,6650,3,1,2,1,1,0,0,0,0,0,1,no
287,4235000,2787,3,1,1,1,0,1,0,0,0,1,2,no
288,4200000,5500,3,1,2,1,0,0,0,1,0,0,0,no
289,4200000,5040,3,1,2,1,0,1,0,1,0,0,0,no
290,4200000,5850,2,1,1,1,1,1,0,0,2,0,1,no
291,4200000,2610,4,3,2,0,0,0,0,0,0,0,1,no
292,4200000,2953,3,1,2,1,0,1,0,1,0,0,0,no
293,4200000,2747,4,2,2,0,0,0,0,0,0,0,1,no
294,4200000,4410,2,1,1,0,0,0,0,0,1,0,0,yes
295,4200000,4000,4,2,2,0,0,0,0,0,0,0,1,yes
296,4200000,2325,3,1,2,0,0,0,0,0,0,0,1,no
297,4200000,4600,3,2,2,1,0,0,0,1,1,0,1,no
298,4200000,3640,3,2,2,1,0,1,0,0,0,0,0,no
299,4200000,5800,3,1,1,1,0,0,1,0,2,0,1,no
300,4200000,7000,3,1,1,1,0,0,0,0,3,0,2,no
301,4200000,4079,3,1,3,1,0,0,0,0,0,0,1,no
302,4200000,3520,3,1,2,1,0,0,0,0,0,1,1,yes
303,4200000,2145,3,1,3,1,0,0,0,0,1,1,0,yes
304,4200000,4500,3,1,1,1,0,1,0,0,0,0,2,no
305,4193000,8250,3,1,1,1,0,1,0,0,3,0,1,no
306,4193000,3450,3,1,2,1,0,0,0,0,1,0,1,yes
307,4165000,4840,3,1,2,1,0,0,0,0,1,0,1,yes
308,4165000,4080,3,1,2,1,0,0,0,0,2,0,1,yes
309,4165000,4046,3,1,2,1,0,1,0,0,1,0,1,no
310,4130000,4632,4,1,2,1,0,0,0,1,0,0,1,yes
311,4130000,5985,3,1,1,1,0,1,0,0,0,0,1,yes
312,4123000,6060,2,1,1,1,0,1,0,0,1,0,1,no
313,4098500,3600,3,1,1,1,0,1,0,1,0,1,2,yes
314,4095000,3680,3,2,2,1,0,0,0,0,0,0,1,yes
315,4095000,4040,2,1,2,1,0,0,0,0,1,0,1,no
316,4095000,5600,2,1,1,1,0,0,0,1,0,0,1,yes
317,4060000,5900,4,2,2,0,0,1,0,0,1,0,0,no
318,4060000,4992,3,2,2,1,0,0,0,0,2,0,0,no
319,4060000,4340,3,1,1,1,0,0,0,0,0,0,1,yes
320,4060000,3000,4,1,3,1,0,1,0,1,2,0,1,no
321,4060000,4320,3,1,2,1,0,0,0,0,2,1,2,yes
322,4025000,3630,3,2,2,1,0,0,1,0,2,0,1,yes
323,4025000,3460,3,2,1,1,0,1,0,1,1,0,2,yes
324,4025000,5400,3,1,1,1,0,0,0,0,3,0,1,yes
325,4007500,4500,3,1,2,0,0,1,0,1,0,0,1,yes
326,4007500,3460,4,1,2,1,0,0,0,1,0,0,1,yes
327,3990000,4100,4,1,1,0,0,1,0,0,0,0,0,yes
328,3990000,6480,3,1,2,0,0,0,0,1,1,0,1,yes
329,3990000,4500,3,2,2,0,0,1,0,1,0,0,1,no
330,3990000,3960,3,1,2,1,0,0,0,0,0,0,2,no
331,3990000,4050,2,1,2,1,1,1,0,0,0,1,0,yes
332,3920000,7260,3,2,1,1,1,1,0,0,3,0,2,yes
333,3920000,5500,4,1,2,1,1,1,0,0,0,0,1,no
334,3920000,3000,3,1,2,1,0,0,0,0,0,0,1,yes
335,3920000,3290,2,1,1,1,0,0,1,0,1,0,2,yes
336,3920000,3816,2,1,1,1,0,1,0,1,2,0,2,no
337,3920000,8080,3,1,1,1,0,0,0,1,2,0,1,yes
338,3920000,2145,4,2,1,1,0,1,0,0,0,1,0,no
339,3885000,3780,2,1,2,1,1,1,0,0,0,0,1,no
340,3885000,3180,4,2,2,1,0,0,0,0,0,0,2,yes
341,3850000,5300,5,2,2,1,0,0,0,0,0,0,1,no
342,3850000,3180,2,2,1,1,0,1,0,0,2,0,1,yes
343,3850000,7152,3,1,2,1,0,0,0,1,0,0,2,yes
344,3850000,4080,2,1,1,1,0,0,0,0,0,0,1,no
345,3850000,3850,2,1,1,1,0,0,0,0,0,0,1,yes
346,3850000,2015,3,1,2,1,0,1,0,0,0,1,1,yes
347,3850000,2176,2,1,2,1,1,0,0,0,0,1,1,yes
348,3836000,3350,3,1,2,1,0,0,0,0,0,0,0,no
349,3815000,3150,2,2,1,0,0,1,0,0,0,0,1,yes
350,3780000,4820,3,1,2,1,0,0,0,0,0,0,1,no
351,3780000,3420,2,1,2,1,0,0,1,0,1,0,1,no
352,3780000,3600,2,1,1,1,0,0,0,0,0,0,1,yes
353,3780000,5830,2,1,1,1,0,0,0,0,2,0,0,yes
354,3780000,2856,3,1,3,1,0,0,0,0,0,1,2,no
355,3780000,8400,2,1,1,1,0,0,0,0,1,0,2,no
356,3773000,8250,3,1,1,1,0,0,0,0,2,0,2,no
357,3773000,2520,5,2,1,0,0,1,0,1,1,0,2,no
358,3773000,6930,4,1,2,0,0,0,0,0,1,0,2,no
359,3745000,3480,2,1,1,1,0,0,0,0,0,1,1,yes
360,3710000,3600,3,1,1,1,0,0,0,0,1,0,0,no
361,3710000,4040,2,1,1,1,0,0,0,0,0,0,1,no
362,3710000,6020,3,1,1,1,0,0,0,0,0,0,1,yes
363,3710000,4050,2,1,1,1,0,0,0,0,0,0,2,yes
364,3710000,3584,2,1,1,1,0,0,1,0,0,0,1,yes
365,3703000,3120,3,1,2,0,0,1,1,0,0,0,1,no
366,3703000,5450,2,1,1,1,0,0,0,0,0,0,2,yes
367,3675000,3630,2,1,1,1,0,1,0,0,0,0,2,yes
368,3675000,3630,2,1,1,1,0,0,0,1,0,0,0,yes
369,3675000,5640,2,1,1,0,0,0,0,0,0,0,1,no
370,3675000,3600,2,1,1,1,0,0,0,0,0,0,2,yes
371,3640000,4280,2,1,1,1,0,0,0,1,2,0,1,no
372,3640000,3570,3,1,2,1,0,1,0,0,0,0,1,no
373,3640000,3180,3,1,2,0,0,1,0,0,0,0,1,yes
374,3640000,3000,2,1,2,1,0,0,0,1,0,0,2,yes
375,3640000,3520,2,2,1,1,0,1,0,0,0,0,1,yes
376,3640000,5960,3,1,2,1,1,1,0,0,0,0,0,no
377,3640000,4130,3,2,2,1,0,0,0,0,2,0,1,no
378,3640000,2850,3,2,2,0,0,1,0,0,0,1,0,yes
379,3640000,2275,3,1,3,1,0,0,1,1,0,1,1,no
380,3633000,3520,3,1,1,1,0,0,0,0,2,1,0,no
381,3605000,4500,2,1,1,1,0,0,0,0,0,0,1,no
382,3605000,4000,2,1,1,1,0,0,0,0,0,1,1,no
383,3570000,3150,3,1,2,1,0,1,0,0,0,0,2,yes
384,3570000,4500,4,2,2,1,0,1,0,0,2,0,2,no
385,3570000,4500,2,1,1,0,0,0,0,0,0,0,2,no
386,3570000,3640,2,1,1,1,0,0,0,0,0,0,0,yes
387,3535000,3850,3,1,1,1,0,0,0,0,2,0,0,yes
388,3500000,4240,3,1,2,1,0,0,0,1,0,0,1,yes
389,3500000,3650,3,1,2,1,0,0,0,0,0,0,0,no
390,3500000,4600,4,1,2,1,0,0,0,0,0,0,1,no
391,3500000,2135,3,2,2,0,0,0,0,0,0,0,0,yes
392,3500000,3036,3,1,2,1,0,1,0,0,0,0,1,yes
393,3500000,3990,3,1,2,1,0,0,0,0,0,0,1,no
394,3500000,7424,3,1,1,0,0,0,0,0,0,0,0,yes
395,3500000,3480,3,1,1,0,0,0,0,1,0,0,0,yes
396,3500000,3600,6,1,2,1,0,0,0,0,1,0,0,yes
397,3500000,3640,2,1,1,1,0,0,0,0,1,0,1,no
398,3500000,5900,2,1,1,1,0,0,0,0,1,0,2,no
399,3500000,3120,3,1,2,1,0,0,0,0,1,0,0,yes
400,3500000,7350,2,1,1,1,0,0,0,0,1,0,1,yes
401,3500000,3512,2,1,1,1,0,0,0,0,1,1,0,no
402,3500000,9500,3,1,2,1,0,0,0,0,3,1,0,no
403,3500000,5880,2,1,1,1,0,0,0,0,0,0,0,no
404,3500000,12944,3,1,1,1,0,0,0,0,0,0,0,no
405,3493000,4900,3,1,2,0,0,0,0,0,0,0,0,no
406,3465000,3060,3,1,1,1,0,0,0,0,0,0,0,yes
407,3465000,5320,2,1,1,1,0,0,0,0,1,1,0,no
408,3465000,2145,3,1,3,1,0,0,0,0,0,1,2,no
409,3430000,4000,2,1,1,1,0,0,0,0,0,0,0,yes
410,3430000,3185,2,1,1,1,0,0,0,0,2,0,0,no
411,3430000,3850,3,1,1,1,0,0,0,0,0,0,0,no
412,3430000,2145,3,1,3,1,0,0,0,0,0,1,2,no
413,3430000,2610,3,1,2,1,0,1,0,0,0,1,0,yes
